LOG_ID,FACILITY_ID,PROVIDER_ID,SERVICE_DATE,SERVICE_HOURS,HIPAA_SIGNATURE_CAPTURED
1,1,102,2026-05-14,6.0,True
2,2,103,2026-05-14,5.5,True
3,2,102,2026-05-29,0.8,False
4,1,102,2026-05-28,2.0,True
5,1,102,2026-05-22,6.3,True
6,3,103,2026-05-16,4.7,False
7,3,102,2026-06-05,5.1,True
8,3,102,2026-05-27,0.9,True
9,1,102,2026-05-08,2.2,True
10,2,103,2026-06-02,3.5,False
11,1,103,2026-05-20,6.5,True
12,2,102,2026-05-12,2.7,True
13,1,103,2026-05-19,5.1,True
14,2,103,2026-05-25,1.2,True
15,2,103,2026-05-17,2.1,False
16,2,102,2026-05-18,3.5,True
17,2,102,2026-05-19,1.7,True
18,2,101,2026-05-16,5.4,False
19,3,101,2026-05-23,3.3,True
20,2,101,2026-05-24,2.8,False
21,1,101,2026-05-27,5.6,True
22,1,103,2026-05-17,5.7,True
23,2,102,2026-06-06,6.1,True
24,2,103,2026-05-14,4.3,True
25,1,102,2026-05-31,1.0,True
26,3,102,2026-05-19,7.9,True
27,3,102,2026-05-25,2.6,True
28,3,102,2026-05-09,5.7,True
29,1,101,2026-05-30,2.0,True
30,1,102,2026-05-30,5.4,True
31,3,101,2026-05-31,6.1,True
32,1,102,2026-05-19,3.9,False
33,3,101,2026-05-11,5.4,True
34,3,101,2026-05-16,1.2,True
35,2,102,2026-06-01,2.2,True
36,1,103,2026-05-13,7.5,False
37,3,102,2026-05-18,6.4,False
38,2,102,2026-05-09,,True
39,2,103,2026-05-23,4.9,True
40,2,101,2026-05-21,,True
41,1,102,2026-05-11,1.4,True
42,3,102,2026-05-16,7.5,False
43,3,102,2026-05-20,6.9,True
44,3,101,2026-06-06,7.4,False
45,1,103,2026-05-30,4.4,False
46,2,103,2026-05-28,4.4,True
47,2,102,2026-05-28,,True
48,2,101,2026-05-14,6.4,True
49,2,102,2026-05-17,3.7,True
50,2,101,2026-05-09,6.2,False
